1.0	1.0	0.04809	21.55023	0.9507586	
1.0	6.0	0.03295	22.68096	0.9418042	
1.0	11.0	0.61106	1.596462	1.948339	
1.0	16.0	0.57804	2.769286	1.894684	
1.0	21.0	0.01267	22.59304	0.930512	
1.0	26.0	0.48149	8.31046	1.626224	
1.0	31.0	0.50192	7.18689	1.679301	
1.0	36.0	0.00785	22.35771	0.9269852	
1.0	41.0	0.22193	18.14940	1.134315	
1.0	46.0	0.00651	22.21855	0.9253043	
1.0	51.0	0.00648	22.18445	0.9243742	
1.0	56.0	0.00521	22.20394	0.9241066	
6.0	1.0	0.17718	19.20474	0.906706	
6.0	6.0	0.46449	1.037285	1.999544	
6.0	11.0	0.43669	1.258073	1.999580	
6.0	16.0	0.42804	1.374667	1.999883	
6.0	21.0	0.42252	1.515448	1.997300	
6.0	26.0	0.42056	1.552912	1.999825	
6.0	31.0	0.41886	1.598136	1.999272	
6.0	36.0	0.4191	1.623628	1.999753	
6.0	41.0	0.42093	1.755865	1.995969	
6.0	46.0	0.42089	1.889512	1.990292	
6.0	51.0	0.4232	1.748930	1.999162	
6.0	56.0	0.42509	2.019452	1.988081	
11.0	1.0	0.15813	19.42291	0.8937829	
11.0	6.0	0.43737	1.272010	1.999507	
11.0	11.0	0.40283	1.602316	1.999784	
11.0	16.0	0.39371	1.85066	1.999476	
11.0	21.0	0.38833	2.013227	1.999726	
11.0	26.0	0.3866	2.186945	1.998464	
11.0	31.0	0.38588	2.274738	1.999262	
11.0	36.0	0.38549	2.364408	1.999522	
11.0	41.0	0.38493	2.451677	1.998977	
11.0	46.0	0.386	2.498104	1.999879	
11.0	51.0	0.38793	2.593477	1.999877	
11.0	56.0	0.39104	2.681149	1.999255	
16.0	1.0	0.62136	0.5939626	1.996389	
16.0	6.0	0.4282	1.408822	1.999689	
16.0	11.0	0.39203	1.849502	1.999793	
16.0	16.0	0.37948	2.171897	1.999878	
16.0	21.0	0.37253	2.419279	1.999488	
16.0	26.0	0.36973	2.59796	1.999588	
16.0	31.0	0.36843	2.819473	1.998728	
16.0	36.0	0.36808	2.922379	1.999769	
16.0	41.0	0.36796	3.058938	1.999568	
16.0	46.0	0.36843	3.162566	1.999474	
16.0	51.0	0.37024	3.267142	1.999701	
16.0	56.0	0.37039	3.409990	1.999086	
21.0	1.0	0.61683	0.7471905	1.987754	
21.0	6.0	0.42383	1.523744	1.999747	
21.0	11.0	0.38519	2.033032	1.999767	
21.0	16.0	0.3709	2.41406	1.999229	
21.0	21.0	0.36134	2.681582	1.999795	
21.0	26.0	0.35907	2.980852	1.999601	
21.0	31.0	0.3594	3.193402	1.999662	
21.0	36.0	0.35616	3.383487	1.999716	
21.0	41.0	0.35596	3.525531	1.999369	
21.0	46.0	0.3579	3.686602	1.999799	
21.0	51.0	0.357	3.819317	1.999114	
21.0	56.0	0.35682	3.937127	1.999275	
26.0	1.0	0.6161	0.6905312	1.991252	
26.0	6.0	0.42932	1.628823	1.999838	
26.0	11.0	0.38178	2.188848	1.998904	
26.0	16.0	0.36557	2.603743	1.999653	
26.0	21.0	0.35783	2.953768	1.999831	
26.0	26.0	0.3533	3.259059	1.999706	
26.0	31.0	0.34961	3.512699	1.999361	
26.0	36.0	0.35003	3.728761	1.999757	
26.0	41.0	0.34607	3.938061	1.999507	
26.0	46.0	0.34894	4.140869	1.999600	
26.0	51.0	0.34637	4.282949	1.999100	
26.0	56.0	0.3496	4.476111	1.999586	
31.0	1.0	0.14898	19.50924	0.8936873	
31.0	6.0	0.43267	1.775198	1.997894	
31.0	11.0	0.385	2.329421	1.999271	
31.0	16.0	0.36342	2.777762	1.999638	
31.0	21.0	0.35293	3.136572	1.999379	
31.0	26.0	0.34801	3.497558	1.999728	
31.0	31.0	0.3435	3.777328	1.99989	
31.0	36.0	0.34233	4.045441	1.999509	
31.0	41.0	0.34169	4.274507	1.999685	
31.0	46.0	0.34267	4.483999	1.999728	
31.0	51.0	0.34001	4.643692	1.999466	
31.0	56.0	0.33966	4.816128	1.999485	
36.0	1.0	0.29569	17.04915	1.041121	
36.0	6.0	0.43513	1.845632	1.996437	
36.0	11.0	0.38795	2.482264	1.999008	
36.0	16.0	0.36386	2.937744	1.9994	
36.0	21.0	0.351	3.327355	1.999693	
36.0	26.0	0.34504	3.696062	1.999773	
36.0	31.0	0.34133	4.023349	1.99981	
36.0	36.0	0.33658	4.302162	1.999506	
36.0	41.0	0.33655	4.557861	1.999464	
36.0	46.0	0.33465	4.780593	1.999655	
36.0	51.0	0.33532	5.041266	1.999744	
36.0	56.0	0.33637	5.211095	1.998997	
41.0	1.0	0.136	19.50566	0.8834954	
41.0	6.0	0.44096	1.872532	1.998758	
41.0	11.0	0.38985	2.590356	1.999491	
41.0	16.0	0.36437	3.114338	1.999703	
41.0	21.0	0.35168	3.519637	1.999560	
41.0	26.0	0.34288	3.876049	1.999759	
41.0	31.0	0.33719	4.225865	1.999681	
41.0	36.0	0.3348	4.519992	1.999682	
