status	sim_time	in_0	in_1	
1	6.18795	0	0	
0	6.27448	1	1	
1	6.36696	0	0	
1	6.81899	0	0	
0	7.16166	1	1	
1	7.18	0	0	
1	7.2502	0	0	
0	2.76892	1	1	
1	2.81738	0	0	
0	3.42085	1	1	
1	3.54032	0	0	
1	3.55854	0	0	
1	3.69726	0	0	
1	3.95205	0	0	
1	4.43622	0	0	
1	4.61182	0	0	
1	7.27752	0	0	
0	7.34358	1	1	
0	3.41741	1	1	
1	4.31724	0	0	
1	5.11837	0	0	
0	43.1335	0.144124	1	
0	4.05878	1	1	
1	4.15866	0	0	
1	4.7101	0	0	
0	0.283523	1	1	
1	0.561118	0	0	
1	0.761156	0	0	
0	0.89705	1	1	
1	0.940242	0	0	
0	0.96024	1	1	
1	1.36795	0	0	
1	1.7413	0	0	
1	2.38629	0	0	
1	2.50851	0	0	
1	2.57139	0	0	
0	3.20331	1	1	
1	3.32118	0	0	
1	3.4058	0	0	
1	3.44765	0	0	
0	1.24821	1	1	
1	1.42611	0	0	
1	1.58605	0	0	
1	2.00005	0	0	
1	2.2755	0	0	
0	1.11747	1	1	
1	2.20208	0	0	
1	2.60649	0	0	
1	2.70648	0	0	
1	3.15398	0	0	
0	3.89008	1	1	
1	3.96915	0	0	
1	4.20262	0	0	
0	4.43934	1	1	
1	4.62358	0	0	
1	4.7837	0	0	
0	4.81719	1	1	
1	4.83455	0	0	
1	4.88944	0	0	
1	5.2173	0	0	
1	5.23995	0	0	
0	5.31672	1	1	
1	5.34861	0	0	
1	5.3957	0	0	
1	5.45587	0	0	
1	5.45737	0	0	
1	5.79799	0	0	
1	5.8286	0	0	
1	5.84711	0	0	
1	5.90277	0	0	
0	13.111	0.228108	1	
0	14.2026	1	1	
1	14.3453	0	0	
0	12.361	1	1	
0	10.4275	1	1	
1	10.8344	0	0	
1	10.8616	0	0	
0	5.95299	1	1	
1	6.20701	0	0	
0	6.38525	1	1	
0	3.69493	1	1	
1	3.7804	0	0	
1	3.88907	0	0	
1	3.98008	0	0	
1	4.15632	0	0	
0	5.27025	1	1	
0	6.04313	1	1	
1	6.23652	0	0	
1	6.41871	0	0	
1	6.53143	0	0	
1	6.72839	0	0	
0	6.84755	1	1	
1	7.08133	0	0	
1	7.09279	0	0	
0	62.8428	0.119282	1	
0	2.27929	1	1	
1	2.35225	0	0	
0	1.11158	1	1	
1	1.58413	0	0	
1	1.59438	0	0	
1	2.05033	0	0	
1	3.28971	0	0	
1	3.46549	0	0	
1	3.62008	0	0	
1	3.71005	0	0	
0	4.90692	1	1	
1	5.17081	0	0	
1	5.62673	0	0	
1	6.03546	0	0	
1	7.44217	0	0	
0	7.57799	1	1	
0	1.43538	1	1	
1	1.79475	0	0	
1	1.87411	0	0	
1	2.80146	0	0	
1	8.50626	0	0	
1	8.53556	0	0	
1	9.19332	0	0	
0	32.3158	0.284758	1	
0	13.7515	1	1	
1	13.7736	0	0	
1	14.1602	0	0	
1	14.9197	0	0	
0	1.91537	1	1	
1	2.00207	0	0	
1	2.27617	0	0	
0	2.37991	1	1	
1	3.37132	0	0	
1	3.80545	0	0	
1	4.67629	0	0	
1	6.66605	0	0	
1	7.49695	0	0	
0	3.05421	1	1	
1	3.24829	0	0	
1	3.3022	0	0	
1	3.36149	0	0	
1	3.82447	0	0	
0	16.5301	0.337214	1	
1	16.7897	0	0	
0	17.1537	1	1	
0	2.39027	1	1	
1	2.74889	0	0	
0	3.44562	1	1	
1	3.51772	0	0	
1	3.59568	0	0	
1	3.60473	0	0	
1	3.87237	0	0	
0	1.26175	1	1	
1	1.34117	0	0	
1	1.35647	0	0	
1	2.82325	0	0	
1	5.02444	0	0	
0	5.12583	1	1	
0	20.8423	0.0679702	1	
0	10.038	1	1	
1	10.3001	0	0	
1	10.3717	0	0	
1	10.8023	0	0	
0	1.1193	1	1	
1	1.30857	0	0	
1	4.04403	0	0	
1	4.29949	0	0	
1	5.37144	0	0	
1	11.4281	0	0	
0	1.72477	1	1	
1	1.90976	0	0	
1	2.34549	0	0	
1	4.01784	0	0	
1	5.71762	0	0	
0	2.44985	1	1	
1	2.91001	0	0	
1	3.38745	0	0	
1	3.65492	0	0	
0	9.48087	1	0.277863	
1	10.4696	0	0	
0	66.288	0.159067	1	
0	20.1937	1	1	
0	6.24399	1	1	
1	6.51746	0	0	
1	9.10317	0	0	
0	10.2567	1	1	
1	10.2678	0	0	
1	10.9877	0	0	
0	3.61194	1	1	
1	4.19266	0	0	
1	4.50863	0	0	
1	5.04447	0	0	
0	1.66096	1	1	
1	2.21931	0	0	
1	2.43305	0	0	
1	2.76383	0	0	
0	3.58363	1	1	
1	3.92445	0	0	
1	4.68569	0	0	
1	5.09962	0	0	
1	5.23616	0	0	
0	5.4822	1	1	
1	5.76144	0	0	
1	5.85721	0	0	
1	5.95296	0	0	
0	10.1048	0.449641	1	
0	9.74536	1	1	
1	9.92697	0	0	
0	10.2114	1	1	
1	10.2152	0	0	
1	10.2538	0	0	
1	10.5001	0	0	
0	10.5715	1	1	
1	10.5791	0	0	
1	10.88	0	0	
0	50.735	0.194399	1	
0	43.5947	1	1	
0	13.378	1	1	
0	6.93033	1	1	
0	4.1939	1	1	
0	0.00122501	1	1	
1	0.219855	0	0	
1	2.0352	0	0	
1	2.77785	0	0	
0	2.76813	1	1	
1	3.34434	0	0	
1	3.84329	0	0	
1	3.99065	0	0	
1	4.12078	0	0	
1	4.67909	0	0	
0	2.91911	1	1	
1	2.97747	0	0	
1	3.11834	0	0	
1	4.19538	0	0	
1	5.00872	0	0	
0	2.48832	1	1	
1	3.47483	0	0	
1	3.8503	0	0	
0	1.40343	1	1	
1	1.6343	0	0	
1	3.59053	0	0	
0	3.34381	1	1	
1	3.96334	0	0	
1	4.25594	0	0	
1	4.58439	0	0	
1	4.62465	0	0	
1	5.1711	0	0	
1	6.2223	0	0	
1	6.94997	0	0	
0	7.30706	1	1	
1	7.34986	0	0	
0	14.2739	0.167865	1	
1	14.3961	0	0	
1	14.4245	0	0	
0	1.95483	1	1	
1	2.54249	0	0	
1	2.84653	0	0	
1	4.28922	0	0	
1	5.92853	0	0	
0	19.2497	1	0.756473	
1	19.4122	0	0	
0	20.109	1	1	
0	20.118	1	1	
1	20.3962	0	0	
0	20.8168	1	1	
0	10.3924	1	1	
1	11.0762	0	0	
0	1.52709	1	1	
1	2.68032	0	0	
1	2.93156	0	0	
1	3.83283	0	0	
1	3.88023	0	0	
0	4.26469	1	1	
1	4.5501	0	0	
0	2.91594	1	1	
1	3.40661	0	0	
1	5.59178	0	0	
1	6.26109	0	0	
1	6.54139	0	0	
1	6.62627	0	0	
0	11.6777	1	0.621133	
1	11.8769	0	0	
0	10.7712	1	1	
1	11.029	0	0	
0	22.7926	0.205145	1	
1	22.8123	0	0	
1	22.8165	0	0	
1	22.9706	0	0	
1	23.1507	0	0	
0	0.629733	1	1	
1	1.95203	0	0	
1	4.50246	0	0	
0	6.91944	1	0.752848	
1	7.07444	0	0	
1	7.1157	0	0	
1	7.36511	0	0	
0	3.13635	1	1	
1	3.50412	0	0	
1	3.93793	0	0	
1	4.93027	0	0	
1	4.99859	0	0	
1	7.89743	0	0	
0	0.0208021	1	1	
1	0.690868	0	0	
1	0.826172	0	0	
1	1.03331	0	0	
1	1.92787	0	0	
0	8.54319	1	0.698313	
1	9.18587	0	0	
0	9.89039	1	0.447026	
1	9.93335	0	0	
0	8.27612	1	0.50121	
1	8.39913	0	0	
1	8.88967	0	0	
1	8.89436	0	0	
0	8.17825	1	0.794009	
1	8.22472	0	0	
1	9.28213	0	0	
1	9.77752	0	0	
1	10.0941	0	0	
1	10.3817	0	0	
1	10.6223	0	0	
0	2.51355	1	1	
1	3.56184	0	0	
0	7.21867	1	0.433614	
0	0.408212	1	1	
1	0.603525	0	0	
1	0.923644	0	0	
1	1.01519	0	0	
1	3.71483	0	0	
1	7.6636	0	0	
1	8.82795	0	0	
0	1.38559	1	1	
1	1.56909	0	0	
1	2.10163	0	0	
1	3.17726	0	0	
0	8.32715	1	0.818818	
0	4.7392	1	1	
1	5.00684	0	0	
0	2.81736	1	0.302387	
1	2.98387	0	0	
1	3.68929	0	0	
1	6.15281	0	0	
1	6.29492	0	0	
1	6.36091	0	0	
1	6.90049	0	0	
1	8.34908	0	0	
1	8.51947	0	0	
1	8.63723	0	0	
0	27.7845	0.318754	1	
1	28.1505	0	0	
0	27.9792	1	1	
1	28.1499	0	0	
1	28.4553	0	0	
0	28.4723	1	1	
1	28.5008	0	0	
0	10.2925	1	1	
0	8.19884	1	1	
0	0.548582	1	1	
1	0.577576	0	0	
1	1.03099	0	0	
1	1.57085	0	0	
1	2.07705	0	0	
0	2.11577	1	1	
1	2.78209	0	0	
1	2.82674	0	0	
1	4.70007	0	0	
0	2.47842	1	1	
1	2.6465	0	0	
1	3.13204	0	0	
1	3.54681	0	0	
0	5.89209	1	1	
1	6.04847	0	0	
1	6.58427	0	0	
0	31.4129	0.210105	1	
0	11.5377	1	1	
0	9.29425	1	1	
1	9.61616	0	0	
1	9.73068	0	0	
1	9.74929	0	0	
0	8.26981	1	1	
1	8.97552	0	0	
1	9.56677	0	0	
1	9.82586	0	0	
1	11.3992	0	0	
0	11.4437	1	1	
0	6.49198	1	1	
0	0.807559	1	1	
1	0.87323	0	0	
1	1.73682	0	0	
1	1.98009	0	0	
1	3.81579	0	0	
0	2.09738	1	1	
1	2.38225	0	0	
1	2.82845	0	0	
1	4.37189	0	0	
0	4.62098	1	1	
0	1.45252	1	1	
1	1.51945	0	0	
1	1.52851	0	0	
1	3.33006	0	0	
1	4.77342	0	0	
1	4.9829	0	0	
1	5.34015	0	0	
0	5.85848	1	1	
1	6.34559	0	0	
1	6.35472	0	0	
1	6.99351	0	0	
0	4.72074	0.289439	1	
1	5.15132	0	0	
0	6.84649	1	0.745983	
0	29.2232	0.222823	1	
0	15.854	0.252415	1	
0	3.35964	1	1	
1	3.36506	0	0	
1	3.44507	0	0	
0	3.94177	1	1	
