1.0	1.0	0.0589	21.58033	0.9538054	
1.0	11.0	0.5048	9.054543	1.594247	
1.0	21.0	0.0193	22.85637	0.9354443	
1.0	31.0	0.0122	22.91855	0.930192	
1.0	41.0	0.0131	22.91489	0.9298853	
11.0	1.0	0.1434	19.63110	0.8747253	
11.0	11.0	0.4078	1.641218	1.997823	
11.0	21.0	0.3921	2.110576	1.997238	
11.0	31.0	0.3834	2.401152	1.992652	
11.0	41.0	0.3831	2.620283	1.989802	
21.0	1.0	0.5822	2.517531	1.887691	
21.0	11.0	0.3886	2.089188	1.997658	
21.0	21.0	0.363	2.755170	1.997950	
21.0	31.0	0.3593	3.264923	1.996617	
21.0	41.0	0.3573	3.673811	1.993674	
31.0	1.0	0.3962	14.01274	1.237747	
31.0	11.0	0.3877	2.464516	1.99268	
31.0	21.0	0.3583	3.288653	1.993738	
31.0	31.0	0.345	3.924326	1.998899	
31.0	41.0	0.3462	4.485422	1.996828	
41.0	1.0	0.0666	20.65004	0.8312895	
41.0	11.0	0.3914	2.672044	1.994895	
41.0	21.0	0.3515	3.598553	1.995605	
41.0	31.0	0.3415	4.327231	1.996793	
41.0	41.0	0.3317	4.845386	1.997660	
